subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Alpenländische Schilderfabrik Gebell GmbH Zentrale,44423400 Schilder und Zubehör,4,"79.357,68",01.01.2024
ÖBB-Holding AG,11217,Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"1,00",18.12.2023
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"73.801,51",06.12.2023
ÖBB-Holding AG,11217,Sanierung von Mineralölabscheider,Kalcher Kanaltechnik GmbH,90741000 Dienstleistungen im Zusammenhang mit Ölverschmutzungen,3,"281.474,61",04.12.2023
ÖBB-Holding AG,11217,Automatisierter SMS Versand,,64212200 Erweiterte Kurznachrichtendienste (EMS),,,17.11.2023
ÖBB-Holding AG,11217,Allen & Overy - Rechtsanwaltsleistung,Allen & Overy LLP Büro,79110000 Juristische Beratung und Vertretung,1,"60.000,00",12.10.2023
ÖBB-Holding AG,11217,Kreativagentur,Rahmenvereinbarung mit mehreren Unternehmen,79340000 Werbe- und Marketingdienstleistungen,0,"1,00",03.10.2023
ÖBB-Holding AG,11217,Pillar II - die globale Mindestbesteuerung - PwC PricewaterhouseCoopers Wirtschaftsprüfung und Steuerberatung GmbH,PwC PricewaterhouseCoopers Wirtschaftsprüfung und Steuerberatung GmbH PwC / TLS / Corporate Tax,79221000 Steuerberatung,1,"54.000,00",01.09.2023
ÖBB-Holding AG,11217,Projektmanagement Unterstützung,Patzner Management Consulting GmbH Geschäftsführung,72224000 Beratung im Bereich Projektleitung,1,"98.050,00",16.08.2023
ÖBB-Holding AG,11217,Neuausrichtung der IT,Die Umsetzer GmbH Die Umsetzer GmbH,72222000 Strategische Prüfung und Planung im Bereich Informationssysteme oder -technologie,1,"69.500,00",10.08.2023
ÖBB-Holding AG,11217,IT Prototyping,Sclable Business Solutions GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"80.316,00",03.08.2023
ÖBB-Holding AG,11217,Pillar II - die globale Mindestbesteuerung - PWC ÖSTERREICH GMBH WIRTSCHAFTSPRÜFUNGSGESELLSCHAFT,PwC Wirtschaftsprüfung GmbH Wirschaftsprüfung,79221000 Steuerberatung,1,"54.000,00",27.07.2023
ÖBB-Holding AG,11217,Beratungsleistungen Organisation,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",25.07.2023
ÖBB-Holding AG,11217,Beratungsleistungen Organisation,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",25.07.2023
ÖBB-Holding AG,11217,Rechtsanwaltsleistung - Rechtsanwaltsleistung Allen Overy,Allen & Overy LLP Büro,79110000 Juristische Beratung und Vertretung,1,"60.000,00",24.07.2023
ÖBB-Holding AG,11217,Erstellung eines ESG Zertifikats  - Erstellung des ESG Zertifikates für die Holding und Teilgesellschaften,Rahmenvereinbarung mit mehreren Unternehmen,79900000 Veschiedene Dienstleistungen für Unternehmen und andere Dienstleistungen,0,"1,00",11.07.2023
ÖBB-Holding AG,11217,Erstellung eines ESG Zertifikats  - Erstellung des ESG Zertifikates für die Holding und Teilgesellschaften,Rahmenvereinbarung mit mehreren Unternehmen,79900000 Veschiedene Dienstleistungen für Unternehmen und andere Dienstleistungen,0,"1,00",11.07.2023
ÖBB-Holding AG,11217,Erstellung eines ESG Zertifikats  - Erstellung des ESG Zertifikates für die Holding und Teilgesellschaften,Rahmenvereinbarung mit mehreren Unternehmen,79900000 Veschiedene Dienstleistungen für Unternehmen und andere Dienstleistungen,0,"1,00",11.07.2023
ÖBB-Holding AG,11217,Erstellung eines ESG Zertifikats  - Erstellung des ESG Zertifikates für die Holding und Teilgesellschaften,Rahmenvereinbarung mit mehreren Unternehmen,79900000 Veschiedene Dienstleistungen für Unternehmen und andere Dienstleistungen,0,"1,00",11.07.2023
ÖBB-Holding AG,11217,IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0,"1,00",10.07.2023
ÖBB-Holding AG,11217,Review Vertriebsprozesse,XXX,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1,00",10.07.2023
ÖBB-Holding AG,11217,Ideation mit externer Beratung,Bitrock Digital Partners Büro München,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,1,"90.000,00",06.07.2023
ÖBB-Holding AG,11217,Bestellung 4401095411,E+H Rechtsanwälte GmbH,79110000 Juristische Beratung und Vertretung,0,"50.000,00",26.06.2023
ÖBB-Holding AG,11217,Beratungsvertrag im Zusammenhang mit Neufinanzierungen,Heinrich&Mortinger GmbH Geschäftsführung,79412000 Beratung im Bereich Finanzverwaltung,1,"128.000,00",30.05.2023
ÖBB-Holding AG,11217,Beratungsleistungen operative Unternehmensführung,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",23.05.2023
ÖBB-Holding AG,11217,Unterstützung Kostentransparenzprojekt,XXX,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1,"1,00",11.05.2023
ÖBB-Holding AG,11217,Innovationsberatung 2,Rahmenvereinbarung mit mehreren Unternehmen,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",0,"1,00",01.05.2023
ÖBB-Holding AG,11217,Rahmenvereinbarung im Bereich betriebswirtschaftliche Beratungsleistungen,Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0,"1,00",10.04.2023
ÖBB-Holding AG,11217,Unterstützungsleistungen Verrechnungspreisdokumentation_2.0,Rahmenvereinbarung mit mehreren Unternehmen,79412000 Beratung im Bereich Finanzverwaltung,0,"1,00",10.04.2023
ÖBB-Holding AG,11217,ÖBB Arbeitgeberstudie 2023,XXX,73000000 Forschungs- und Entwicklungsdienste und zugehörige Beratung,1,"1,00",31.03.2023
ÖBB-Holding AG,11217,Bestellung 4300907123,BearingPoint GmbH,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",1,"57.500,00",06.03.2023
ÖBB-Holding AG,11217,IT Dienstleistungen - Analyse und Delivery,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0,"1,00",02.03.2023
ÖBB-Holding AG,11217,Beratungsleistungen Güterverkehr 40by40,HERRY Consult GmbH Zentrale,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",3,"97.600,00",15.02.2023
ÖBB-Holding AG,11217,IT Prototyping,Sclable Business Solutions GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"68.094,00",02.02.2023
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"73.801,51",24.01.2023
ÖBB-Holding AG,11217,Abschlussprüfung im ÖBB-Konzern 2020ff.,Ernst & Young Wirtschaftsprüfungs-,79200000 Dienstleistungen im Bereich Rechnungslegung und -prüfung sowie Steuerwesen,5,"66.107,10",18.01.2023
ÖBB-Holding AG,11217,Medientraining,Business Zeus Media GmbH  Zentrale,"79000000 Dienstleistungen für Unternehmen: Recht, Marketing, Consulting, Einstellungen, Druck und Sicherheit",2,"541.350,00",17.01.2023
ÖBB-Holding AG,11217,DV Frauenkarriereindex 2023,Deloitte Consulting GmbH Deloitte Consulting GmbH,79633000 Dienstleistungen in Verbindung mit der Personalentwicklung,1,"70.300,00",09.01.2023
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Bayer Schilder GmbH Zentrale,44423400 Schilder und Zubehör,4,"23.617,16",03.01.2023
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Alpenländische Schilderfabrik Gebell GmbH Zentrale,44423400 Schilder und Zubehör,4,"43.278,55",03.01.2023
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Forster Verkehrs- und Werbetechnik GmbH Zentrale,44423400 Schilder und Zubehör,4,"6.926,10",03.01.2023
ÖBB-Holding AG,11217,Beschilderung des ÖBB-Streckennetzes,Georg Ebinger Gesellschaft m.b.H. Firmensitz,44423400 Schilder und Zubehör,4,"40.997,73",03.01.2023
ÖBB-Holding AG,11217,Personalberatung - CFO der ÖBB-Holding,Kienbaum Consultants Austria GmbH Kienbaum Wien,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,1,"99.195,00",29.12.2022
ÖBB-Holding AG,11217,Binder Grösswang - Rechtsanwaltsleistung,Binder Grösswang Rechtsanwälte GmbH Kanzlei Wien,79100000 Dienstleistungen im juristischen Bereich,1,"60.000,00",29.12.2022
ÖBB-Holding AG,11217,Abruf aus Rahmenvereinbarung,Gartner Austria GmbH,72222300 Informationstechnologiedienste,2,"397.900,00",27.12.2022
ÖBB-Holding AG,11217,Vertragsverlängerung 2023 Brainloop,XXX,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1,"1,00",23.12.2022
ÖBB-Holding AG,11217,Lizensierung von Medieninhalten für die Medienbeobachtung,APA - Austria Presse Agentur eG Sales,79990000 Verschiedene Dienstleistungen für Unternehmen,1,"75.000,00",15.12.2022
ÖBB-Holding AG,11217,Abrufbestellung einer Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0,"1,00",14.12.2022
