subsidiary_name,subsidiary_id,Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
ÖBB-Immobilienmanagement,11090,Lieferung von Sanitäranlagen und -Ersatzteilen,,44411000 Sanitärerzeugnisse,,,20.07.2022
ÖBB-Immobilienmanagement,11090,RV_HKLS-Steiermark_LOS 1 - RV_HKLS-Steiermark_LOS 1,Michelic Installations GmbH Michelic Installations GmbH,"50500000 Reparatur und Wartung von Pumpen, Ventilen, Hähnen, Metallbehältern und Maschinen",1,"99.000,58",19.07.2022
ÖBB-Immobilienmanagement,11090,Fahrradparksysteme,,34926000 Ausrüstung für Parkplätze,,,06.07.2022
ÖBB-Immobilienmanagement,11090,Lieferung und Einbau einer Seilaufzuganlage,Schindler Aufzüge u. Fahrtreppen Gm,42416100 Aufzüge,2,"106.103,00",29.06.2022
ÖBB-Immobilienmanagement,11090,HKLS Leistungen für den West- und Hauptbahnhof Wien,Siemens Gebäudemanagement & -Services G.m.b.H. LCS,50700000 Reparatur und Wartung von Einrichtungen in Gebäuden,7,"1,00",23.06.2022
ÖBB-Immobilienmanagement,11090,HKLS Leistungen für den West- und Hauptbahnhof Wien,Dipl.Ing.Alfred Offner Ges.m.b.H. Zentrale,50700000 Reparatur und Wartung von Einrichtungen in Gebäuden,7,"1,00",23.06.2022
ÖBB-Immobilienmanagement,11090,HKLS Leistungen für den West- und Hauptbahnhof Wien,FIX Gebäudesicherheit+Service GmbH Region Ost,50700000 Reparatur und Wartung von Einrichtungen in Gebäuden,7,"1,00",23.06.2022
ÖBB-Immobilienmanagement,11090,Modulentwicklung - Bewertungsgate - Architekturplanung - Hochbauplanung,S & P Architekten ZT GmbH Architektur,71220000 Architekturentwurf,1,"58.906,72",13.06.2022
ÖBB-Immobilienmanagement,11090,Tischler Portierloge Las5,Faustmann Möbelmanufaktur GmbH Zentrale,"71000000 Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen",1,"69.672,00",08.06.2022
ÖBB-Immobilienmanagement,11090,Bestellung 4300886381,ENGIE Gebäudetechnik GmbH,45000000 Bauarbeiten,0,"74.486,45",07.06.2022
